,Nombre,Apellido Paterno,Apellido Materno,fecha,producto,P1,P2,P3,P4,P5
0,Ricardo,Cavazos,Adames,2020-01-01,Producto Y,3,-1,4,2,-1
1,Carolina,Arteaga,Puga,2020-02-26,Producto X,5,5,5,5,5
2,Roque,Padilla,Reyna,2020-02-29,Producto Y,3,3,4,4,3
3,Jaime,Rangel,Quiñónez,2020-01-23,Producto Y,3,3,2,4,3
4,Zacarí­as,Chavarría,Quiñones,2020-03-15,Producto X,4,5,5,4,5
5,Libertad,Correa,Bañuelos,2020-02-25,Producto X,5,5,5,5,4
6,Cristina,Da ros,Almeida,2020-02-20,Producto X,5,5,-1,3,5
7,Jacobo,Vela,Águilar,2020-02-19,Producto X,5,-1,5,5,5
8,Alana,Heredia,Casanova,2020-01-30,Producto X,4,5,4,5,5
9,Fiona,Reyes,Estévez,2020-04-02,Producto X,5,4,4,4,5
10,Silvestre,Rodrígez,Casal,2020-01-11,Producto X,-1,5,5,-1,5
11,Margarita,Uribe,Alejandro,2020-04-06,Producto X,-1,5,5,4,4
12,Manuel,Aponte,Galván,2020-02-23,Producto X,5,-1,-1,-1,5
13,Caridad,Freitas,Jimínez,2020-01-24,Producto X,4,4,5,5,5
14,Bárbara,Guillen,Garibay,2020-02-01,Producto X,3,3,5,5,-1
15,Betania,Linares,Veira,2020-03-30,Producto X,5,5,5,5,5
16,Milagros,Morello,Tovar,2020-01-27,Producto X,4,5,5,5,-1
17,Leo,Gallardo,Agrada,2020-03-01,Producto X,4,5,4,5,5
18,Mabel,Vargas,Duarte,2020-03-25,Producto X,5,5,4,3,5
19,Gabriela,Pantoja,Bustamante,2020-04-13,Producto X,5,5,4,5,3
20,Miguel,Deleón,Zapata,2020-03-16,Producto X,5,-1,5,2,3
21,Felix,Vera,Ortega,2020-04-04,Producto X,5,5,4,4,-1
22,Tomás,Covarrubias,Altamirano,2020-03-05,Producto X,5,4,5,5,5
23,Eustacio,Aranda,Arce,2020-03-24,Producto X,5,5,5,3,5
24,Paz,Quiñónez,Holguín,2020-03-24,Producto X,4,5,4,4,4
25,Jaime,Cardoso,Santiago,2020-01-22,Producto X,3,5,4,5,5
26,Marcos,Fierro,Sáenz,2020-03-05,Producto X,4,5,5,4,5
27,Cecilia,Fino,Fajardo,2020-02-12,Producto Y,4,3,4,5,4
28,Trinidad,Velásquez,Ceballos,2020-03-01,Producto X,4,5,5,5,-1
29,Ceferino,Tórrez,Alanis,2020-04-10,Producto X,5,-1,4,4,5
30,Casia,Holguín,Almanza,2020-04-02,Producto X,4,4,4,5,5
31,Lorena,Reyes,Tijerina,2020-02-26,Producto Y,4,4,4,5,4
32,Avril,Cruz,Couto,2020-03-01,Producto X,5,5,5,5,5
33,Amara,Vaca,Montemayor,2020-02-08,Producto Y,3,2,3,3,3
34,Giuliana,Arce,Bernal,2020-03-25,Producto X,5,4,5,-1,5
35,Mabel,Murillo,Sáenz,2020-01-06,Producto X,3,3,5,4,5
36,Lidia,Olmos,Paz,2020-01-20,Producto X,5,4,4,-1,-1
37,Angélica,Ureña,Archuleta,2020-02-10,Producto Y,2,3,-1,5,3
38,Maricela,Cordero,Da souza,2020-01-31,Producto Y,5,2,4,1,2
39,Estefaní­a,Osorio,Carranza,2020-04-03,Producto X,5,5,4,4,4
40,Stefano,Granado,Casal,2020-02-19,Producto X,5,5,5,4,5
41,Nicolás,Maldonado,Frías,2020-01-11,Producto X,5,3,4,4,5
42,Amanda,Gálvez,Peña,2020-04-05,Producto X,5,3,5,4,-1
43,Jesús,Arce,Suárez,2020-02-06,Producto X,-1,4,5,4,5
44,Adán,Pedraza,Alicea,2020-02-20,Producto X,5,5,-1,5,4
45,Dulce,Gamboa,Mego,2020-03-19,Producto X,5,5,5,-1,4
46,Aurora,Laboy,Pineda,2020-01-31,Producto X,5,4,5,5,3
47,Catalina,Lobo,Calvillo,2020-01-05,Producto X,5,5,-1,4,4
48,Joel,Sampaio,Benavídez,2020-02-01,Producto X,5,5,4,5,5
49,Desirée,Hinojosa,Carrera,2020-04-09,Producto X,4,-1,4,5,5
50,Maya,Climaco,Aguirre,2020-02-20,Producto Y,3,3,4,1,4
51,Albina,Fajardo,Costa,2020-01-05,Producto Y,3,3,4,2,5
52,Gina,Escamilla,Noriega,2020-02-14,Producto Y,4,5,3,3,5
53,Zacarí­as,Flores,Sanabria,2020-03-07,Producto X,5,5,5,4,3
54,Renee,Cano,Carvajal,2020-01-03,Producto Y,-1,4,4,-1,1
55,Mercedes,Pomar,Cazares,2020-04-09,Producto X,5,3,4,5,5
56,Magdalena,Nieto,Peña,2020-01-09,Producto Y,3,4,2,4,5
57,Alana,Angulo,Elizondo,2020-01-19,Producto X,5,5,5,5,5
58,Maya,Sánchez,Gomes,2020-01-11,Producto X,4,5,-1,4,5
59,Gabriel,Archuleta,Sousa,2020-01-12,Producto X,5,5,4,5,5
60,Socorro,Roybal,Bueno,2020-02-01,Producto Y,1,-1,2,4,3
61,Norma,Torres,Ravines,2020-02-03,Producto X,4,5,4,5,3
62,Victoria,Cornejo,Aragón,2020-03-12,Producto X,5,4,5,4,4
63,Juana,Franco,Salinas,2020-01-03,Producto X,5,5,4,5,5
64,Candela,Becerra,Quiroz,2020-02-01,Producto X,5,5,5,5,5
65,Susana,Salas,Melo,2020-02-07,Producto X,5,3,5,5,5
66,Desirée,Nevárez,Galindo,2020-04-13,Producto X,5,5,5,-1,5
67,Marisol,Razo,Ortega,2020-03-06,Producto X,5,5,5,4,3
68,Angela,Angulo,Lomeli,2020-02-28,Producto X,4,5,5,5,4
69,Lara,Razo,Sousa,2020-03-19,Producto X,5,5,-1,5,-1
70,Sierra,Salcedo,Mateo,2020-04-08,Producto X,5,5,3,5,5
71,Anastacio,Climaco,Cerda,2020-02-18,Producto X,4,5,5,-1,4
72,Gracia,Da cruz,Da cruz,2020-03-18,Producto X,5,4,4,4,4
73,Gerardo,Girón,Merino,2020-01-11,Producto X,3,5,5,4,5
74,Elizabeth,Cernades,Cordero,2020-01-16,Producto Y,3,-1,3,3,4
75,Neptuno,Carrasquillo,Correa,2020-02-17,Producto Y,5,5,1,-1,4
76,Rubí,Zúñiga,Perea,2020-03-10,Producto X,4,5,5,5,5
77,Salvador,Saavedra,Mayorga,2020-02-15,Producto X,5,-1,5,-1,-1
78,Malena,Bueno,Rascón,2020-01-12,Producto X,5,4,5,5,4
